datetime,open,high,low,close,volume
2025-09-18T09:30:00-04:00,661.88,662.27,661.34,661.99,2459000
2025-09-18T09:35:00-04:00,661.99,662.44,661.68,661.7,1400625
2025-09-18T09:40:00-04:00,661.7,661.86,660.76,660.77,2105315
2025-09-18T09:45:00-04:00,660.77,661.47,660.27,661.45,1959437
2025-09-18T09:50:00-04:00,661.45,662.29,661.25,661.33,1516722
2025-09-18T09:55:00-04:00,661.33,662.09,660.94,662.07,1264405
2025-09-18T10:00:00-04:00,662.06,662.85,662.0,662.74,1208557
2025-09-18T10:05:00-04:00,662.74,663.5,662.74,663.5,1196748
2025-09-18T10:10:00-04:00,663.5,663.76,663.41,663.62,1141407
2025-09-18T10:15:00-04:00,663.6,664.11,663.53,664.1,1242278
2025-09-18T10:20:00-04:00,664.09,664.21,663.62,664.07,1137046
2025-09-18T10:25:00-04:00,664.07,664.49,664.05,664.4,935981
2025-09-18T10:30:00-04:00,664.38,664.89,664.36,664.39,992075
2025-09-18T10:35:00-04:00,664.39,664.41,663.8,663.8,887116
2025-09-18T10:40:00-04:00,663.81,664.05,663.49,663.5,716767
2025-09-18T10:45:00-04:00,663.49,663.84,663.31,663.57,822373
2025-09-18T10:50:00-04:00,663.57,663.57,662.86,662.88,689546
2025-09-18T10:55:00-04:00,662.88,663.16,662.71,662.77,757440
2025-09-18T11:00:00-04:00,662.77,663.26,662.74,662.96,827557
2025-09-18T11:05:00-04:00,662.98,663.29,662.6,662.84,747235
2025-09-18T11:10:00-04:00,662.85,663.11,662.63,662.89,471067
2025-09-18T11:15:00-04:00,662.91,663.76,662.76,663.75,635870
2025-09-18T11:20:00-04:00,663.77,663.99,663.32,663.47,650823
2025-09-18T11:25:00-04:00,663.47,663.7,663.19,663.33,387336
2025-09-18T11:30:00-04:00,663.31,663.94,663.31,663.64,543021
2025-09-18T11:35:00-04:00,663.64,663.75,663.56,663.7,264037
2025-09-18T11:40:00-04:00,663.7,663.78,663.31,663.41,241641
2025-09-18T11:45:00-04:00,663.41,663.48,663.14,663.21,392109
2025-09-18T11:50:00-04:00,663.22,663.24,662.28,662.63,622020
2025-09-18T11:55:00-04:00,662.64,662.77,662.17,662.6,612271
2025-09-18T12:00:00-04:00,662.58,662.96,662.48,662.93,368452
2025-09-18T12:05:00-04:00,662.92,663.0,662.39,662.48,415604
2025-09-18T12:10:00-04:00,662.47,663.12,662.31,663.08,383620
2025-09-18T12:15:00-04:00,663.06,663.44,663.03,663.16,478778
2025-09-18T12:20:00-04:00,663.14,663.44,663.04,663.34,277927
2025-09-18T12:25:00-04:00,663.35,663.56,663.26,663.46,299197
2025-09-18T12:30:00-04:00,663.46,663.84,663.44,663.75,280714
2025-09-18T12:35:00-04:00,663.74,663.92,663.69,663.87,444376
2025-09-18T12:40:00-04:00,663.87,664.06,663.77,663.98,452711
2025-09-18T12:45:00-04:00,664.0,664.19,663.87,664.06,345812
2025-09-18T12:50:00-04:00,664.07,664.1,663.86,664.0,308531
2025-09-18T12:55:00-04:00,664.0,664.13,663.8,664.05,296931
2025-09-18T13:00:00-04:00,664.04,664.23,663.83,663.87,457664
2025-09-18T13:05:00-04:00,663.87,664.04,663.73,663.93,516798
2025-09-18T13:10:00-04:00,663.87,663.95,663.74,663.76,315095
2025-09-18T13:15:00-04:00,663.78,663.94,663.7,663.73,248466
2025-09-18T13:20:00-04:00,663.74,663.82,663.48,663.48,283956
2025-09-18T13:25:00-04:00,663.5,663.54,663.26,663.32,280078
2025-09-18T13:30:00-04:00,663.32,663.45,663.06,663.07,316023
2025-09-18T13:35:00-04:00,663.07,663.1,662.66,663.09,653016
2025-09-18T13:40:00-04:00,663.09,663.1,662.72,662.91,454073
2025-09-18T13:45:00-04:00,662.92,663.06,662.68,662.84,306422
2025-09-18T13:50:00-04:00,662.86,663.14,662.65,663.08,324320
2025-09-18T13:55:00-04:00,663.07,663.13,662.52,662.79,385197
2025-09-18T14:00:00-04:00,662.79,663.06,662.64,663.01,400426
2025-09-18T14:05:00-04:00,663.02,663.28,662.98,663.07,420679
2025-09-18T14:10:00-04:00,663.06,663.06,662.59,662.81,429708
2025-09-18T14:15:00-04:00,662.82,663.06,662.69,662.75,252991
2025-09-18T14:20:00-04:00,662.75,662.92,662.68,662.85,245848
2025-09-18T14:25:00-04:00,662.85,663.08,662.77,662.77,275642
2025-09-18T14:30:00-04:00,662.78,663.04,662.78,663.0,258533
2025-09-18T14:35:00-04:00,663.01,663.07,662.77,662.87,343088
2025-09-18T14:40:00-04:00,662.86,662.96,662.34,662.45,324644
2025-09-18T14:45:00-04:00,662.44,663.14,662.38,662.99,520476
2025-09-18T14:50:00-04:00,662.99,663.4,662.99,663.34,508832
2025-09-18T14:55:00-04:00,663.34,663.51,663.23,663.24,521605
2025-09-18T15:00:00-04:00,663.24,663.43,663.17,663.22,455979
2025-09-18T15:05:00-04:00,663.21,663.44,663.2,663.36,538916
2025-09-18T15:10:00-04:00,663.38,663.4,663.06,663.1,644921
2025-09-18T15:15:00-04:00,663.11,663.2,662.91,663.12,692004
2025-09-18T15:20:00-04:00,663.13,663.15,662.72,662.84,716067
2025-09-18T15:25:00-04:00,662.83,662.9,662.68,662.71,685646
2025-09-18T15:30:00-04:00,662.7,662.88,662.41,662.53,759063
